Date,COF,DTST,FRD,TGB,TKR,UHS
2022-10-01,101,2,9,1,68,114
2022-11-01,98,1,8,1,73,129
2022-12-01,89,1,9,1,68,139
2023-01-01,114,1,11,1,80,146
2023-02-01,104,1,11,1,83,132
2023-03-01,92,1,11,1,79,126
2023-04-01,94,1,11,1,74,149
2023-05-01,100,1,9,1,69,131
2023-06-01,106,2,12,1,89,156
2023-07-01,113,2,17,1,90,138
2023-08-01,99,3,13,1,74,133
2023-09-01,94,3,13,1,72,125
2023-10-01,99,2,9,1,67,125
2023-11-01,109,3,11,1,71,136
2023-12-01,128,2,15,1,79,151
2024-01-01,133,3,16,1,80,158
2024-02-01,135,4,18,1,83,166
2024-03-01,147,5,18,2,86,182
2024-04-01,141,4,19,2,88,170
2024-05-01,136,7,18,2,86,189
2024-06-01,137,6,15,2,79,184
2024-07-01,150,5,16,2,86,213
2024-08-01,145,4,15,2,84,237
2024-09-01,149,3,15,2,84,228
2024-10-01,162,3,13,2,83,204
